Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese


ammoStackGroupDesc,items,Ammo,,,This is a compact stack of ammo. Use this item to take the ammo out of the box so that you can load it into a weapon.,,"Dies ist ein kompakter Munitionsstapel. Benutze diesen Gegenstand, um die Munition aus der Box zu nehmen, damit du sie in eine Waffe laden kannst.","Este es un montón compacto de munición. Usa este objeto para sacar la munición de la caja y poder cargarla en un arma.","Ceci est une pile compacte de munitions. Utilisez cet objet pour retirer les munitions de la boîte afin de pouvoir les charger dans une arme.","Questa è una pila compatta di munizioni. Usa questo oggetto per togliere le munizioni dalla scatola e poterle caricare in un'arma.","これはコンパクトな弾薬のスタックです。このアイテムを使用して弾薬を箱から取り出し、武器に装填することができます。","이것은 컴팩트한 탄약 더미입니다. 이 아이템을 사용해 탄약을 상자에서 꺼내 무기에 장전할 수 있습니다.","To jest kompaktowy stos amunicji. Użyj tego przedmiotu, aby wyjąć amunicję z pudełka i załadować ją do broni.","Este é um estoque compacto de munição. Use este item para tirar a munição da caixa e carregá-la em uma arma.","Это компактная стопка боеприпасов. Воспользуйтесь этим предметом, чтобы взять боеприпасы из коробки и зарядить оружие.","Bu, kompakt bir mühimmat yığınıdır. Bu öğeyi kullan ve mühimmatı kutudan çıkararak silaha doldur.","这是一个紧凑的弹药堆。使用此物品可将弹药从盒子中取出，装入武器。","這是一個緊湊的彈藥堆。使用此物品可以將彈藥從盒子中取出，以便將其裝入武器中。"


ammoStack9mmBulletBall,items,Ammo,,,Stack of 9mm Ammo (1000),,Stapel mit 9-mm-Munition (1000),Pila de munición de 9 mm (1000),Pile de munitions cal. 9 mm (1000),Pila di munizioni per 9 mm (1000),9mm弾（1000）個入りのスタック,9mm 탄약 더미 (1000),Stos amunicji 9 mm (1000),Pilha de Munição 9 mm (1000),Стопка патронов 9 мм (1000),9 mm Mühimmat Yığını (1000),一堆9毫米弹药（1000）,9 毫米彈藥堆（1000)
ammoStack9mmBulletHP,items,Ammo,,,Stack of 9mm HP Ammo (1000),,Stapel mit 9-mm-HP-Munition (1000),Pila de munición HP de 9 mm (1000),Pile de munitions 9 mm HP (1000),Pila di munizioni 9 mm HP (1000),9mmHP弾（1000）個入りのスタック,9mm HP 탄약 더미 (1000),Stos amunicji 9 mm HP (1000),Pilha de Munição 9 mm HP (1000),Стопка патронов 9 мм HP (1000),9 mm HP Mühimmat Yığını (1000),一堆9毫米空尖弹药（1000）,9 毫米空尖彈藥堆（1000)
ammoStack9mmBulletAP,items,Ammo,,,Stack of 9mm AP Ammo (1000),,Stapel mit 9-mm-AP-Munition (1000),Pila de munición AP de 9 mm (1000),Pile de munitions 9 mm AP (1000),Pila di munizioni 9 mm AP (1000),9mmAP弾（1000）個入りのスタック,9mm AP 탄약 더미 (1000),Stos amunicji 9 mm AP (1000),Pilha de Munição 9 mm AP (1000),Стопка патронов 9 мм AP (1000),9 mm AP Mühimmat Yığını (1000),一堆9毫米穿甲弹药（1000）,9 毫米穿甲彈藥堆（1000)

ammoStack44MagnumBulletBall,items,Ammo,,,Stack of .44 Magnum Ammo (1000),,Stapel mit .44-Magnum-Munition (1000),Pila de munición .44 Magnum (1000),Pile de munitions .44 Magnum (1000),Pila di munizioni .44 Magnum (1000),44マグナム弾（1000）個入りのスタック,.44 매그넘 탄약 더미 (1000),Stos amunicji .44 Magnum (1000),Pilha de Munição .44 Magnum (1000),Стопка патронов .44 Magnum (1000),.44 Magnum Mühimmat Yığını (1000),一堆.44马格南弹药（1000）,一堆.44馬格南彈藥（1000)
